point_id,point_lat,point_long,surveycprnlc
48541882,39.83511,16.20086,A22
48581878,39.79606,16.24374,B81
48621874,39.757,16.28658,B75
48621876,39.77504,16.28833,E10
48681884,39.84268,16.3649,E20
48701888,39.87724,16.39165,A22
48761876,39.76443,16.45044,B23
48741876,39.76596,16.42728,A22
48721862,39.6412,16.39167,B82
48781862,39.63662,16.46101,A22
49101856,39.55723,16.82496,A22
49141850,39.49988,16.86541,E30
49181846,39.46054,16.9077,A22
49081846,39.46868,16.79249,A22
49261836,39.36376,16.99021,A22
49241838,39.38345,16.96912,A22
49341832,39.32101,17.07832,E10
49341842,39.41117,17.08807,A22
48961944,40.36172,16.746,B43
49001948,40.39453,16.79658,B43
49001946,40.37651,16.79465,B82
48961948,40.39776,16.74983,B82
48981948,40.39615,16.7732,E20
49441950,40.37557,17.31264,B54
49481958,40.44409,17.3677,B82
49481960,40.4621,17.36979,A22
49521964,40.49457,17.42078,B54
49481972,40.5701,17.38237,E20
49481968,40.5341,17.37817,B82
49401964,40.50508,17.28036,A22
49441960,40.4656,17.32301,B54
49341976,40.61829,17.22246,B81
49321972,40.584,17.19491,B81
49281974,40.60542,17.15007,E30
49301976,40.62172,17.17556,B81
49301982,40.67573,17.18171,A22
49261984,40.69715,17.1368,A22
49241982,40.68084,17.11129,A22
49301986,40.71173,17.18581,A22
49441984,40.68161,17.34807,B15
49421974,40.59336,17.31416,B54
49521982,40.65656,17.43981,A22
49521984,40.67456,17.44193,B81
49481984,40.67809,17.395,A22
49501992,40.74831,17.42695,B81
49381988,40.72284,17.28181,A22
49282014,40.96544,17.19114,F40
49302010,40.92773,17.21056,B54
49262014,40.96716,17.16756,B21
49262008,40.91316,17.16138,B73
49282006,40.89345,17.18287,B81
49222004,40.88057,17.11017,F40
49221996,40.80856,17.10202,A22
49261996,40.80516,17.14906,B11
49361998,40.81457,17.26872,B54
49321998,40.81802,17.22168,A22
49301994,40.78374,17.19403,B54
49321988,40.72802,17.21135,B54
49221992,40.77255,17.09795,B54
49241988,40.73485,17.11739,A22
49121990,40.76294,16.9784,B54
49121994,40.79895,16.9824,B54
49101994,40.80061,16.95888,B54
49141998,40.83329,17.00994,B54
49181998,40.82994,17.057,A22
49202004,40.88226,17.08662,B54
49202010,40.93626,17.09273,B81
49122012,40.96099,17.00046,B82
49082014,40.98232,16.9553,B82
49022004,40.89724,16.87464,B81
48962014,40.99217,16.81375,B81
48941996,40.83172,16.77262,F40
48941994,40.81371,16.77067,A22
48961994,40.81209,16.7942,B53
49021996,40.82522,16.86675,B54
49041998,40.84158,16.89226,A22
49061992,40.78591,16.90985,B12
49061990,40.76791,16.90788,B54
49001984,40.71879,16.83148,B74
48961976,40.64999,16.77674,A22
48941976,40.6516,16.75327,B54
49181984,40.70391,17.04287,A22
49161978,40.65156,17.01338,A22
49161976,40.63355,17.01138,F40
49181970,40.57786,17.02883,A22
49141970,40.58119,16.98195,A22
49101974,40.62053,16.93902,A22
49101972,40.60252,16.93705,B81
49121968,40.56485,16.95653,A22
49041958,40.48136,16.85304,E30
49021968,40.57307,16.83935,B13
49041964,40.53541,16.85888,B82
49021962,40.51902,16.83351,B12
48981964,40.54028,16.7886,F40
48941966,40.56153,16.74366,B15
48981962,40.52227,16.78667,B54
48901952,40.4386,16.68348,F40
48901956,40.47464,16.68727,B42
48921958,40.49106,16.71258,B42
48921962,40.5271,16.7164,B81
48881962,40.53029,16.66955,F40
48841966,40.56949,16.62646,B12
48781952,40.44805,16.5431,F40
48681954,40.4738,16.42791,B81
48681956,40.49183,16.42974,E20
48681958,40.50985,16.43157,B12
48661960,40.52941,16.40996,A22
48681960,40.52788,16.43339,B81
48741958,40.50523,16.50183,A22
48781960,40.52014,16.55054,B81
48761968,40.59379,16.53454,A21
48781974,40.64628,16.56361,A22
48721968,40.59689,16.48764,B54
48661974,40.65557,16.42276,B12
48701978,40.68854,16.47341,E20
48741974,40.6494,16.51666,F40
48761976,40.66586,16.542,B81
48861970,40.60395,16.65369,B81
48881970,40.60236,16.67714,B81
48901972,40.61878,16.70251,A22
48881980,40.69244,16.68668,B15
48921984,40.72526,16.7375,E30
48901986,40.74488,16.71592,E20
48901988,40.76289,16.71784,F40
48781988,40.7724,16.57675,B12
48781996,40.84446,16.58429,B54
48881992,40.80052,16.69816,B81
48901992,40.79892,16.72169,A22
48762010,40.97213,16.57395,B81
48802002,40.89693,16.61353,B53
48722000,40.88518,16.51739,E20
48721990,40.7951,16.50805,B54
48761984,40.73794,16.54948,B13
48701984,40.7426,16.47896,B41
48661988,40.78171,16.43562,B12
48561982,40.73525,16.31256,B12
48581982,40.73374,16.33607,A22
48481990,40.81332,16.22564,B12
48561988,40.78932,16.31799,B13
48522010,40.99054,16.29077,E20
48441996,40.87035,16.18388,A22
48421996,40.87182,16.16032,B32
48442002,40.92442,16.18921,A22
48361986,40.78608,16.0809,B12
48361992,40.84016,16.08613,B12
48461994,40.85085,16.20566,A22
48441988,40.79826,16.17679,B13
48441984,40.76221,16.17326,B12
48361982,40.75002,16.07742,B12
48341966,40.60723,16.04009,C10
48381968,40.62237,16.08875,A22
48421976,40.69157,16.1427,B15
48501974,40.66764,16.2349,A22
48621976,40.67664,16.37762,B81
48581972,40.64363,16.32703,B12
48581966,40.58955,16.32162,B12
48501966,40.59554,16.22779,B15
48521966,40.59405,16.25125,F40
48561958,40.51895,16.291,A22
48641954,40.47686,16.38109,B15
48581950,40.44534,16.30726,A22
48521952,40.46785,16.23882,E20
48381954,40.49615,16.07664,A22
48381942,40.38795,16.0663,E30
48401940,40.36847,16.08796,E10
48461944,40.40016,16.16159,A21
48441920,40.1852,16.11742,B81
48501924,40.21688,16.19084,C10
48541930,40.26802,16.24276,B81
48581928,40.247,16.28767,B53
48541926,40.23195,16.23924,B37
48641924,40.20642,16.35407,D20
48601928,40.2455,16.311,A22
48541942,40.37621,16.25336,A22
48621948,40.42429,16.35227,A22
48721948,40.41666,16.46923,A22
48721940,40.34455,16.4619,E20
48701942,40.36412,16.44036,E20
48921950,40.41898,16.70497,B81
48941952,40.4354,16.73026,B12
48961940,40.32568,16.74219,A13
48961938,40.30766,16.74028,B77
48901940,40.33047,16.67213,B43
48881938,40.31404,16.6469,B81
48961936,40.28964,16.73838,E20
48941926,40.20113,16.70557,A13
48881924,40.18787,16.63378,B81
48861926,40.20747,16.61234,A22
48801926,40.21217,16.5424,B75
48801928,40.23019,16.54425,B15
48721928,40.23638,16.45096,A22
48701908,40.0576,16.40957,C10
48801906,40.03187,16.52403,C33
48821920,40.15652,16.56017,B81
48841918,40.13693,16.58161,B19
48881920,40.15181,16.63005,B54
48841904,40.01072,16.56869,B54
48581892,39.92235,16.25595,E10
48661902,40.00654,16.3577,E20
48681910,40.07716,16.38811,B54
48601914,40.11927,16.29857,B11
48261894,39.96351,15.88605,E20
48361908,40.08274,16.01401,C10
48341914,40.13829,15.99579,D20
48281912,40.12451,15.92422,B55
48241900,40.01905,15.86774,D10
48161902,40.04264,15.77633,A21
48201904,40.05793,15.82449,B81
47861900,40.04459,15.42572,A22
47881910,40.13356,15.45665,B52
48021916,40.17848,15.6245,E20
48041918,40.19518,15.64941,A21
48041926,40.26737,15.65579,B52
47901934,40.34885,15.49854,B74
47861938,40.38756,15.45486,A22
47901940,40.40299,15.50321,B82
47961942,40.41708,15.57499,B81
47941942,40.4184,15.55159,E30
47921938,40.38363,15.52505,B55
47981930,40.30748,15.5889,B55
48041932,40.3215,15.66059,E30
48121938,40.37019,15.75894,B16
48141938,40.36881,15.78233,B54
48181938,40.36605,15.82909,B52
48181934,40.32997,15.82579,F40
48101936,40.35352,15.73393,A22
48141926,40.26056,15.77253,B55
48241926,40.25362,15.88924,A22
48341938,40.35476,16.01612,A22
48301936,40.33958,15.96768,A22
48241932,40.30774,15.89423,B54
48221938,40.36326,15.87585,A22
48281936,40.341,15.94431,E10
48241944,40.41597,15.90425,A22
48181954,40.51036,15.84233,E10
48161964,40.60193,15.82719,A22
48081964,40.60744,15.7333,B54
48061966,40.62684,15.71146,B54
48101968,40.64215,15.76006,B35
48041974,40.70035,15.69448,B54
48181970,40.65464,15.85566,B54
48181974,40.69071,15.85901,B54
48261964,40.59492,15.94452,E10
48241968,40.6324,15.92443,B12
48281968,40.62956,15.97138,B13
48261972,40.66705,15.9513,E30
48301974,40.68223,15.99999,B12
48321982,40.75291,16.03038,B81
48301984,40.77238,16.00858,B12
48241984,40.77665,15.93799,B15
48281988,40.80986,15.98848,B12
48301994,40.86251,16.0172,E10
48281998,40.9,15.99708,B13
48282002,40.93605,16.00053,A22
48242004,40.95693,15.95506,B12
48222008,40.9944,15.93487,F40
48182004,40.96117,15.88426,B82
48162002,40.94454,15.85897,B12
48221998,40.90427,15.92634,B12
48241994,40.86679,15.94651,B12
48161994,40.87242,15.85224,B12
48142002,40.94594,15.83537,B12
48142006,40.98199,15.83873,B12
48022000,40.93616,15.69214,B81
48081998,40.91403,15.76127,A22
48061996,40.89737,15.73603,E30
48081986,40.80583,15.75135,E20
48141978,40.72956,15.81532,E20
48061980,40.7531,15.72289,B55
47901980,40.76384,15.53465,B52
47941986,40.8153,15.58651,E20
48001988,40.82931,15.65879,A22
48001992,40.86538,15.66203,E20
47962004,40.97627,15.62459,A22
47882002,40.96356,15.52854,B11
47862004,40.98291,15.50652,E20
47861990,40.85666,15.49545,B54
47842000,40.94815,15.47975,B12
47801998,40.93272,15.43098,B11
47742002,40.97266,15.36327,B55
47721990,40.8657,15.33045,B12
47721988,40.84766,15.32892,B52
47781986,40.82578,15.39807,A11
47821986,40.82319,15.44519,E10
47821984,40.80515,15.44363,E20
47861980,40.76647,15.48758,C10
47761966,40.64664,15.35916,B82
47781964,40.62732,15.38112,B81
47841964,40.62344,15.45157,D10
47841972,40.69561,15.4578,B52
47861972,40.69431,15.48131,D10
47901970,40.67364,15.52674,A22
47921974,40.7084,15.55342,B55
